"","logFC","AveExpr","t","P.Value","adj.P.Val","B","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_CpG_Islands_Name","DHS","Enhancer","Phantom","Probe_SNPs","Probe_SNPs_10"
"cg21907579",0.15902988,0.35007848,5.74677168287412,1.26753726120778e-05,1.26753726120778e-05,2.83366319703332,"12",114845868,"F","II","TBX5","1stExon","island","1stExon-island","chr12:114845861-114847650",NA,TRUE,"","rs78462880",""
"cg00321478",0.08675933,0.604956265,5.74045736498398,1.28547113249331e-05,1.28547113249331e-05,2.81944888136023,"1",197238398,"F","II","CRB1","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg06436504",0.10856892,0.62184679,5.65580737792215,1.55256433052333e-05,1.55256433052333e-05,2.62850562358084,"3",99833735,"R","II","C3orf26","TSS200","opensea","TSS200-opensea","",NA,NA,"","rs76745895",""
"cg03760483",0.066689364,0.131157738,5.62147807695437,1.67647899520477e-05,1.67647899520477e-05,2.55086909137585,"17",6899297,"R","II","ALOX12","TSS200","island","TSS200-island","chr17:6898820-6900427",TRUE,TRUE,"","",""
"cg06550629",-0.12017152,0.34374101,-5.619022829096,1.68571977222231e-05,1.68571977222231e-05,2.54531213991967,"12",131439172,"R","II","GPR133","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg26207503",-0.10422291,0.306486925,-5.5149741992397,2.1291892623807e-05,2.1291892623807e-05,2.30929850829164,"12",81110749,"R","II","MYF5","1stExon","island","1stExon-island","chr12:81110725-81111126",NA,NA,"","",""
"cg25608041",0.072680792,0.108869791,5.49505188835332,2.22685708130196e-05,2.22685708130196e-05,2.26399529779715,"4",37891834,"F","II","TBC1D1","TSS1500","island","TSS1500-island","chr4:37891656-37893314",NA,TRUE,"","",""
"cg02813863",0.15857345,0.347852525,5.45548780079613,2.43460099010646e-05,2.43460099010646e-05,2.17392215109091,"12",12938287,"F","II","APOLD1","Body","shore","Body-shore","chr12:12939713-12940391",NA,NA,"","",""
"cg19014419",0.014747021,0.0342980095,5.35015817393745,3.089520816498e-05,3.089520816498e-05,1.93346953709667,"5",150284504,"R","II","ZNF300","TSS200","island","TSS200-island","chr5:150284385-150284635",TRUE,NA,"","",""
"cg13681935",0.12792492,0.47105606,5.3445008856684,3.1294055887528e-05,3.1294055887528e-05,1.92052871759525,"20",32848452,"F","II","ASIP","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg06848073",0.13229723,0.328140565,5.34130556653423,3.15216460557405e-05,3.15216460557405e-05,1.91321841314966,"1",11713540,"R","II","FBXO44","TSS1500","shore","TSS1500-shore","chr1:11714217-11715304",NA,NA,"","",""
"cg02332525",0.023178278,0.049438931,5.31359557538875,3.35674524959697e-05,3.35674524959697e-05,1.84978883138323,"3",6903153,"R","II","GRM7","1stExon","island","1stExon-island","chr3:6902823-6903516",NA,NA,"","",""
"cg11075745",0.12656464,0.48374601,5.31174703273372,3.37086504480793e-05,3.37086504480793e-05,1.84555525949907,"1",43205976,"F","II","CLDN19","TSS200","shore","TSS200-shore","chr1:43204115-43204323",TRUE,NA,"","","rs41269513"
"cg07026910",0.0831622199999999,0.67414522,5.2792072302028,3.62956595805225e-05,3.62956595805225e-05,1.77098833323365,"2",234070710,"F","II","INPP5D","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg25762706",0.10900414,0.45359841,5.27194127756809,3.69004308579629e-05,3.69004308579629e-05,1.75432682900148,"8",27115867,"R","II","STMN4","1stExon","opensea","1stExon-opensea","",TRUE,NA,"","",""
"cg03389133",0.10102474,0.30803409,5.27075137642987,3.70004441309208e-05,3.70004441309208e-05,1.75159789228944,"22",37608611,"F","II","SSTR3","TSS1500","opensea","TSS1500-opensea","",TRUE,TRUE,"","",""
"cg23863670",0.07761608,0.38369659,5.25802393987932,3.80876330419745e-05,3.80876330419745e-05,1.72240190302112,"5",43411929,"R","II","CCL28","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg05921581",0.15972375,0.573200845,5.23957215611566,3.97218549290753e-05,3.97218549290753e-05,1.68005304301616,"12",53098625,"F","II","KRT77","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","","rs74956489"
"cg25710140",-0.07837212,0.46824716,-5.23866024903528,3.98044469975061e-05,3.98044469975061e-05,1.67795946128692,"X",10852037,"F","II","MID1","TSS1500","opensea","TSS1500-opensea","",NA,TRUE,"","",""
"cg00174500",0.053189413,0.1243151535,5.22511326671293,4.10522023019793e-05,4.10522023019793e-05,1.64685072363174,"14",23846479,"R","II","CMTM5","1stExon","opensea","1stExon-opensea","",NA,TRUE,"","",""
"cg03380645",0.11550049,0.749917345,5.16579441050969,4.70023228728031e-05,4.70023228728031e-05,1.51047812054897,"2",85895048,"F","II","SFTPB","Body","opensea","Body-opensea","",NA,NA,"","rs34197986",""
"cg12400041",0.05328733,0.603638925,5.13507957412382,5.0420916904004e-05,5.0420916904004e-05,1.43976948872783,"6",56709328,"F","II","DST","Body","shore","Body-shore","chr6:56708059-56709166",NA,NA,"","rs28741060",""
"cg15626350",0.09382274,0.25956108,5.11272492952468,5.30671137754684e-05,5.30671137754684e-05,1.38826726961127,"6",152130207,"R","II","ESR1","Body","shore","Body-shore","chr6:152128822-152129771",NA,NA,"","",""
"cg20125091",0.1002885,0.32494505,5.10592053516506,5.39002799743093e-05,5.39002799743093e-05,1.37258434620021,"1",92952641,"F","II","GFI1","TSS1500","shore","TSS1500-shore","chr1:92945907-92952609",NA,NA,"","",""
"cg15310873",-0.0447471800000001,0.86344429,-5.08271117767286,5.68435116881641e-05,5.68435116881641e-05,1.31906860362485,"20",56726093,"R","II","C20orf85","Body","island","Body-island","chr20:56725857-56726113",NA,NA,"","",""
"cg18414381",0.0955862,0.38264832,5.04236607873629,6.23541591612289e-05,6.23541591612289e-05,1.2259617991174,"11",34642885,"F","II","EHF","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","",""
"cg26614073",-0.11795174,0.39583435,-5.0391280822826,6.28192995874247e-05,6.28192995874247e-05,1.21848501106767,"3",47517819,"R","II","SCAP","TSS1500","shore","TSS1500-shore","chr3:47516997-47517650",NA,NA,"","",""
"cg10910525",0.12011601,0.265226825,5.01446027819303,6.64805219244712e-05,6.64805219244712e-05,1.1615048992422,"19",49658232,"F","II","HRC","1stExon","shelf","1stExon-shelf","chr19:49660880-49661157",NA,NA,"","",""
"cg09554443",0.0799198,0.57894253,5.01435540404172,6.64965414490339e-05,6.64965414490339e-05,1.16126257531032,"1",167487762,"F","II","CD247","1stExon","opensea","1stExon-opensea","",NA,NA,"","rs45438393",""
"cg26143719",0.072458018,0.155458981,5.00531720865319,6.78919531998924e-05,6.78919531998924e-05,1.14037641372179,"22",37584227,"F","II","C1QTNF6","1stExon","opensea","1stExon-opensea","",TRUE,TRUE,"","",""
"cg21126707",-0.1403433,0.63522403,-5.00455100498294,6.80116062304299e-05,6.80116062304299e-05,1.13860559748681,"12",81111012,"F","II","MYF5","1stExon","island","1stExon-island","chr12:81110725-81111126",NA,NA,"","",""
"cg08399444",0.07959064,0.59911359,4.99136094811976,7.01053066582576e-05,7.01053066582576e-05,1.10811614346557,"12",13248548,"F","II","GSG1","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg20191453",0.08643709,0.322582965,4.97654981733237,7.2534438733063e-05,7.2534438733063e-05,1.07386800183626,"3",49459855,"F","II","AMT","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg19404190",0.10571969,0.559050535,4.95361619476253,7.64654227668349e-05,7.64654227668349e-05,1.02081462740332,"5",147692173,"F","II","SPINK7","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg14869028",0.028847008,0.088809951,4.94979828365774,7.71405259400864e-05,7.71405259400864e-05,1.01197978095741,"1",32042161,"F","II","TINAGL1","5'UTR","opensea","5'UTR-opensea","",NA,TRUE,"","",""
"cg13798289",-0.0949827,0.40981604,-4.9453549453162,7.79338389147664e-05,7.79338389147664e-05,1.00169670789734,"16",67875619,"F","II","THAP11","TSS1500","shore","TSS1500-shore","chr16:67875717-67876740",NA,NA,"","",""
"cg18109798",0.09441082,0.32286503,4.94320448512804,7.83207488425022e-05,7.83207488425022e-05,0.996719601073636,"12",20848473,"F","II","SLCO1C1","5'UTR","opensea","5'UTR-opensea","",NA,TRUE,"","",""
"cg24929834",0.07982426,0.48936714,4.93070925352592,8.06077580120131e-05,8.06077580120131e-05,0.967795475554336,"22",29457241,"R","II","C22orf31","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg23338195",0.0980974199999999,0.57581479,4.91043489754366,8.4463647830723e-05,8.4463647830723e-05,0.920847445215884,"8",118146418,"R","II","SLC30A8","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg04726200",0.10376277,0.305456125,4.88915322172433,8.87126039541065e-05,8.87126039541065e-05,0.871545300193295,"11",2930485,"F","I","SLC22A18","Body","island","Body-island","chr11:2930289-2931093",NA,NA,"","",""
"cg01420388",0.17023234,0.46052711,4.88720012853303,8.91132423988783e-05,8.91132423988783e-05,0.86701959518858,"1",11714254,"R","II","FBXO44","TSS1500","island","TSS1500-island","chr1:11714217-11715304",NA,NA,"","",""
"cg07354440",0.0737339,0.22648052,4.88143096134734,9.03074159170984e-05,9.03074159170984e-05,0.853650250767934,"1",161168889,"F","II","NDUFS2","TSS1500","shelf","TSS1500-shelf","chr1:161171809-161172256",TRUE,NA,"","",""
"cg25221625",0.09201666,0.6678337,4.87360400901129,9.19535120101328e-05,9.19535120101328e-05,0.835509784666904,"22",25595955,"R","II","CRYBB3","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","",""
"cg19692710",0.09113099,0.541856785,4.87262922291132,9.21606389573707e-05,9.21606389573707e-05,0.833250334508021,"11",73661920,"R","II","DNAJB13","1stExon","opensea","1stExon-opensea","",TRUE,NA,"","rs73543099",""
"cg25112191",0.09068,0.45076411,4.87118803257049,9.24677362412079e-05,9.24677362412079e-05,0.829909730052773,"1",151804260,"R","II","RORC","1stExon","opensea","1stExon-opensea","",NA,NA,"low-CpG:150070849-150070927","",""
"cg16495265",-0.10565265,0.172463155,-4.86300220942803,9.42317987080063e-05,9.42317987080063e-05,0.810933640144295,"17",46671010,"R","II","LOC404266","Body","island","Body-island","chr17:46670522-46671458",NA,NA,"","",""
"cg21501064",0.045157557,0.1495394815,4.85416737380431,9.61740195703942e-05,9.61740195703942e-05,0.790449683526759,"X",118827889,"R","II","SEPT6","TSS1500","shore","TSS1500-shore","chrX:118828038-118828257",NA,NA,"","",""
"cg09396217",-0.04919171,0.268208605,-4.83286299684854,0.000101026032356601,0.000101026032356601,0.741040614270313,"8",108510286,"F","II","ANGPT1","TSS200","opensea","TSS200-opensea","",NA,NA,"","",""
"cg03699566",0.0893416,0.28832663,4.81068769170671,0.000106340106867787,0.000106340106867787,0.689591535240373,"11",71900652,"R","II","FOLR1","1stExon","opensea","1stExon-opensea","",NA,NA,"","",""
"cg13320683",0.10197059,0.604424125,4.78148930576303,0.000113771603581152,0.000113771603581152,0.621818475220485,"10",62761819,"R","II","RHOBTB1","TSS1500","shore","TSS1500-shore","chr10:62761163-62761595",NA,NA,"","",""
"cg26616347",0.018471775,0.0678468105,4.77661197447584,0.000115063268157089,0.000115063268157089,0.610494443711858,"7",128577752,"F","II","IRF5","TSS1500","shore","TSS1500-shore","chr7:128577818-128578756",NA,NA,"","",""
"cg00819310",0.0575487000000001,0.79852953,4.77314805348777,0.00011598962380645,0.00011598962380645,0.602451493574527,"1",116193783,"R","II","VANGL1","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","",""
"cg20965815",0.0790277600000001,0.60334477,4.76623838079077,0.000117860084303495,0.000117860084303495,0.586406485006942,"6",30919513,"R","II","DPCR1","Body","shelf","Body-shelf","chr6:30923208-30923624",NA,NA,"","",""
"cg06445611",0.1002243,0.52899048,4.75645144403974,0.000120561790145164,0.000120561790145164,0.563677255703189,"6",90025053,"R","II","GABRR2","TSS200","opensea","TSS200-opensea","",NA,NA,"","",""
"cg09573795",-0.05319238,0.87987382,-4.74044861351949,0.000125115108761378,0.000125115108761378,0.526505091927444,"4",4863874,"F","II","MSX1","Body","shore","Body-shore","chr4:4864456-4864834",NA,NA,"","",""
"cg15966757",0.10997692,0.50392626,4.73421328423765,0.000126936013502784,0.000126936013502784,0.512019043615038,"12",372259,"R","II","SLC6A13","TSS1500","opensea","TSS1500-opensea","",NA,TRUE,"","",""
"cg02298570",-0.05826486,0.490293,-4.69637658729177,0.000138575010198159,0.000138575010198159,0.424089794047387,"19",2840764,"F","II","ZNF555","TSS1500","shore","TSS1500-shore","chr19:2840864-2842213",NA,NA,"","",""
"cg03734783",0.05726045,0.766961555,4.68059374986846,0.000143743601753307,0.000143743601753307,0.387399352504834,"7",150745709,"F","II","ACCN3","1stExon","shore","1stExon-shore","chr7:150746002-150746381",NA,NA,"","",""
"cg15787039",0.045331376,0.138066652,4.6779110126375,0.000144641331215187,0.000144641331215187,0.381162096166381,"15",32934185,"F","II","SCG5","5'UTR","opensea","5'UTR-opensea","",NA,TRUE,"","",""
"cg08700651",0.03751515,0.155760645,4.65440758164523,0.00015275264068953,0.00015275264068953,0.32650950867292,"1",24513482,"F","II","IL28RA","Body","shore","Body-shore","chr1:24513540-24514477",NA,TRUE,"","",""
"cg06536578",0.10307534,0.44757594,4.63981687152757,0.000158017759473216,0.000158017759473216,0.292574808835857,"14",24048555,"R","II","JPH4","TSS1500","shore","TSS1500-shore","chr14:24044886-24046760",NA,NA,"","",""
"cg09118625",0.10069723,0.697853545,4.63430400722952,0.00016005448847639,0.00016005448847639,0.279751841096246,"1",68512971,"R","II","DIRAS3","Body","island","Body-island","chr1:68512643-68513005",NA,NA,"","",""
"cg23579062",0.09903275,0.234193055,4.63357462434026,0.000160325937960482,0.000160325937960482,0.278055239184103,"9",34457500,"R","II","C9orf25","Body","island","Body-island","chr9:34457375-34458892",NA,NA,"","",""
"cg22362636",-0.023732221,0.0848181315,-4.63000911244906,0.00016165959724706,0.00016165959724706,0.269761408425579,"4",2758447,"F","II","TNIP2","TSS1500","shore","TSS1500-shore","chr4:2757653-2758010",NA,NA,"","",""
"cg24694549",-0.11704397,0.600238105,-4.6270549376888,0.000162773073017508,0.000162773073017508,0.262889413721235,"12",67072769,"R","II","GRIP1","1stExon","opensea","1stExon-opensea","",NA,TRUE,"low-CpG:65358996-65359151","",""
"cg13553204",0.07616639,0.508043605,4.62530988188731,0.000163434448044096,0.000163434448044096,0.258829980060453,"1",26504548,"R","II","CNKSR1","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg25218351",0.082782122,0.169019559,4.61742816711459,0.000166455585320066,0.000166455585320066,0.240494347388873,"2",27505446,"F","II","TRIM54","TSS200","opensea","TSS200-opensea","",NA,TRUE,"","","rs77326953"
"cg25511807",-0.07883542,0.31578609,-4.61702094545095,0.000166613200567705,0.000166613200567705,0.239546971795404,"11",102401438,"F","II","MMP7","1stExon","opensea","1stExon-opensea","",NA,NA,"","",""
"cg16408970",0.076348395,0.1678433325,4.60959919021456,0.000169512339326638,0.000169512339326638,0.222280135320466,"10",28965584,"F","II","BAMBI","TSS1500","shore","TSS1500-shore","chr10:28965704-28967266",NA,NA,"","",""
"cg24620905",0.031814711,0.1099999645,4.60688164055005,0.000170586581240678,0.000170586581240678,0.215957436580835,"1",149908781,"F","II","MTMR11","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","",""
"cg03000846",0.07925089,0.350594975,4.58593561947698,0.000179100487555191,0.000179100487555191,0.167219394992665,"17",79990263,"F","II","RAC3","Body","island","Body-island","chr17:79987983-79990315",NA,NA,"","",""
"cg11880010",0.07587687,0.348986095,4.57814029256312,0.000182377457286305,0.000182377457286305,0.149078935569689,"9",79328644,"F","II","PRUNE2","Body","opensea","Body-opensea","",NA,NA,"","rs75923528",""
"cg14657159",-0.028500649,0.1003273855,-4.57391218735262,0.000184180092666611,0.000184180092666611,0.139239317824147,"12",56211136,"F","II","ORMDL2","TSS1500","shore","TSS1500-shore","chr12:56211325-56211553",NA,NA,"","",""
"cg06566994",0.06680463,0.336020485,4.56602088012825,0.000187592751658489,0.000187592751658489,0.120873967729464,"3",44596384,"R","II","ZNF167","TSS1500","shore","TSS1500-shore","chr3:44596535-44597018",TRUE,NA,"","",""
"cg20264732",0.04367201,0.124629165,4.56278746957503,0.000189009426453737,0.000189009426453737,0.113348614611934,"16",68269763,"F","II","ESRP2","1stExon","island","1stExon-island","chr16:68269010-68272143",NA,NA,"","",""
"cg23523368",0.05977645,0.552448195,4.54729921943608,0.000195946524086591,0.000195946524086591,0.0772996150372718,"1",115238494,"R","II","AMPD1","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg21794225",0.07867933,0.216285205,4.54537258997371,0.000196827223040694,0.000196827223040694,0.0728151471766472,"14",30397464,"F","II","PRKD1","TSS1500","shore","TSS1500-shore","chr14:30396210-30397420",TRUE,NA,"","",""
"cg27210136",0.08582197,0.639982475,4.54442347158826,0.000197262549795999,0.000197262549795999,0.0706059395649818,"17",45932641,"R","II","SP6","5'UTR","shelf","5'UTR-shelf","chr17:45928211-45928710",NA,NA,"","",""
"cg06051311",0.0710687,0.43825286,4.54232528022557,0.000198228364592661,0.000198228364592661,0.0657220614446503,"6",30131001,"F","II","TRIM15","5'UTR","opensea","5'UTR-opensea","",NA,TRUE,"","",""
"cg06166767",0.04794442,0.18499161,4.52936813326456,0.000204299213081953,0.000204299213081953,0.0355610471007592,"8",41167848,"R","II","SFRP1","TSS1500","shore","TSS1500-shore","chr8:41165852-41167140",NA,NA,"","",""
"cg23517605",0.029481209,0.0938066315,4.52498567430091,0.000206394688838264,0.000206394688838264,0.0253593452291279,"6",3228365,"F","II","TUBB2B","TSS1500","island","TSS1500-island","chr6:3227025-3229688",TRUE,NA,"","",""
"cg08573687",0.0774122100000001,0.411993525,4.5170584712627,0.000210240293502428,0.000210240293502428,0.00690551220516422,"11",2193041,"R","I","TH","TSS200","opensea","TSS200-opensea","",NA,NA,"","",""
"cg22242539",0.060214572,0.180348394,4.51580256759835,0.000210856145721384,0.000210856145721384,0.0039818222095791,"17",1665220,"F","II","SERPINF1","TSS200","opensea","TSS200-opensea","",NA,NA,"","",""
"cg04818845",0.028898682,0.095033125,4.51491253209077,0.000211293689453785,0.000211293689453785,0.00190984864093302,"1",6580167,"R","II","PLEKHG5","TSS200","opensea","TSS200-opensea","",NA,TRUE,"","",""
"cg12455187",0.04385805,0.410849525,4.51359365333366,0.000211943737174392,0.000211943737174392,-0.00116047151260279,"17",34208503,"R","II","CCL5","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg08081725",-0.0382785,0.16787929,-4.51310792547332,0.000212183649879965,0.000212183649879965,-0.0022912390950296,"16",15743607,"R","II","NDE1","TSS1500","shore","TSS1500-shore","chr16:15743759-15744423",NA,NA,"","",""
"cg02582754",0.0681942100000001,0.837858285,4.50867012765404,0.000214388300577955,0.000214388300577955,-0.0126224672595505,"6",160327345,"R","II","MAS1","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg03658707",0.09259241,0.654239605,4.50398293975117,0.000216741924016076,0.000216741924016076,-0.023534460840505,"20",32848426,"R","II","ASIP","Body","opensea","Body-opensea","",NA,NA,"","","rs78312703"
"cg12953249",0.05483858,0.75561319,4.50390691363507,0.000216780313619901,0.000216780313619901,-0.0237114546981845,"9",126118772,"R","II","CRB2","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg24341129",-0.0608750799999999,0.31089721,-4.48952273625012,0.000224168344809715,0.000224168344809715,-0.0571995555748401,"9",16727830,"F","II","BNC2","Body","shore","Body-shore","chr9:16726859-16727273",NA,NA,"","rs79432515",""
"cg04184278",0.07566658,0.4736208,4.46937752027319,0.000234943901910277,0.000234943901910277,-0.104102188946105,"12",21757759,"R","II","GYS2","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","",""
"cg19264571",0.07984061,0.214319415,4.45143223688385,0.000244981498101232,0.000244981498101232,-0.145884283791162,"18",10454085,"F","II","APCDD1","TSS1500","island","TSS1500-island","chr18:10454082-10454296",TRUE,NA,"","",""
"cg13407883",-0.08717398,0.63226039,-4.45131790081427,0.000245046816865778,0.000245046816865778,-0.146150495735166,"19",51627843,"F","II","SIGLEC9","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","rs72483936","rs77319859"
"cg18017908",0.065116286,0.157801367,4.44736666421291,0.000247314916106058,0.000247314916106058,-0.155350286960195,"17",16394618,"R","II","C17orf76","Body","shore","Body-shore","chr17:16394833-16395843",NA,TRUE,"","",""
"cg26711820",-0.11737632,0.54598133,-4.42768725655153,0.000258930087699055,0.000258930087699055,-0.201170667806402,"12",81101689,"F","II","MYF6","1stExon","shore","1stExon-shore","chr12:81102034-81102716",NA,NA,"","",""
"cg13672342",-0.05610706,0.18685621,-4.42178282243644,0.000262520958817192,0.000262520958817192,-0.214918176748509,"2",96930546,"R","II","CIAO1","TSS1500","shore","TSS1500-shore","chr2:96930859-96932291",NA,NA,"","",""
"cg12556134",0.06543987,0.224047955,4.42007968070141,0.000263566034003633,0.000263566034003633,-0.218883653989115,"20",35201610,"F","II","TGIF2","TSS1500","island","TSS1500-island","chr20:35201323-35203490",NA,NA,"","",""
"cg14144305",-0.07483136,0.3765063,-4.42000233898667,0.000263613591386822,0.000263613591386822,-0.219063730956067,"11",44325960,"R","II","ALX4","Body","island","Body-island","chr11:44325657-44326517",TRUE,TRUE,"","",""
"cg22325572",-0.08262206,0.50834473,-4.40791742020664,0.000271151706074961,0.000271151706074961,-0.24720122536977,"1",111416181,"F","II","CD53","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","",""
"cg06141025",0.0745365900000001,0.456517965,4.39808628198547,0.000277443730071919,0.000277443730071919,-0.270090857795563,"12",21757466,"R","II","GYS2","1stExon","opensea","1stExon-opensea","",NA,NA,"","",""
"cg20768743",0.06314037,0.445341525,4.39431046362052,0.000279899150542779,0.000279899150542779,-0.278881905489511,"18",67624846,"F","II","CD226","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg19764436",0.035134373,0.0670174445,4.38165223415074,0.000288291423568593,0.000288291423568593,-0.308352862327188,"22",23413260,"F","II","RTDR1","Body","island","Body-island","chr22:23412224-23413597",NA,NA,"","",""
"cg03782453",0.047568403,0.0831890425,4.36904403063545,0.000296902130526717,0.000296902130526717,-0.337706297419651,"4",7043935,"R","II","CCDC96","1stExon","island","1stExon-island","chr4:7043808-7045732",NA,NA,"","",""
"cg04551925",-0.0938192999999999,0.71971889,-4.36136405537221,0.00030227339338137,0.00030227339338137,-0.355585595170508,"7",30951740,"F","II","AQP1","1stExon","opensea","1stExon-opensea","",NA,NA,"","",""
"cg14289461",0.032248755,0.1054348235,4.35330543611763,0.000308014550286681,0.000308014550286681,-0.374345810684674,"6",112575929,"R","II","LAMA4","TSS200","shore","TSS200-shore","chr6:112575091-112575483",NA,NA,"low-CpG:112682038-112682667","",""
"cg12200412",-0.05664646,0.41543186,-4.34980036345955,0.00031054573640538,0.00031054573640538,-0.382505308926681,"1",158324331,"R","II","CD1E","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg18094221",-0.05157453,0.205192715,-4.34433669134835,0.000314533085520647,0.000314533085520647,-0.395223990931113,"3",49448445,"R","II","RHOA","5'UTR","shore","5'UTR-shore","chr3:49448861-49449965",NA,NA,"","",""
"cg01126560",-0.11559782,0.39172206,-4.33222288321869,0.000323558138018324,0.000323558138018324,-0.423422046631621,"9",139886304,"F","II","C9orf142","TSS1500","shore","TSS1500-shore","chr9:139886312-139887180",NA,NA,"","","rs77736814"
